Region,Mean_Anorexia_dB,Mean_Control_dB,t_value,df,p_raw,p_Bonferroni
O1,0.193520345981127,-0.174794992158515,1.66510635075396,39.7328089361783,0.103758723683418,1
Occipital,0.190350054895992,-0.114492886596749,1.54885516231842,38.9121166811944,0.129512295605354,1
Fp2,0.425399535864476,0.146426880760776,1.13540376806069,25.7473731378118,0.266665363813187,1
O2,0.187179763810857,-0.0541907810349838,1.12008295185632,37.8916304536868,0.269727973027581,1
Fp1,0.245515479693454,-0.0827850136122228,1.02769865578264,22.9859800037467,0.314785431537969,1
Parietal,0.157572780706274,-0.00454047744586033,0.910489827452689,40.3499612655649,0.367971480819144,1
P8,0.163793629247984,-0.0247469691052129,0.874881993999887,40.514941671221,0.386795212633542,1
P3,0.199171023979481,0.0250088390966918,0.787738747881686,40.1983368502971,0.435470072523341,1
P7,0.31904559594483,0.147870007396249,0.750242768810652,34.3184115710905,0.458221579588876,1
P4,0.0593113636779271,-0.105821550705862,0.711081137250754,40.8714755853758,0.481072587779573,1
Fz,0.120595863879855,-0.0232384348584897,0.661795703433285,34.5893981743738,0.512487250840215,1
Pz,0.0465422906811502,-0.0650127139111674,0.546623154870083,38.6414706735717,0.587780460758812,1
Frontal,0.280011982803698,0.171381258170072,0.497544819108157,30.4368965871672,0.622380499306809,1
T8,0.602457839012059,0.717683909722223,-0.472368339922538,36.2054278339552,0.639498884112874,1
F3,0.0622965622100087,0.168265055760177,-0.385709932942831,36.2896563036122,0.701963408734872,1
C4,-0.00996058202598783,-0.0836490233009582,0.330063004506325,38.0600244243279,0.743162282843771,1
F7,0.445334492825705,0.327903087893648,0.307923777773191,25.2616457629004,0.760664960400279,1
T7,0.285326756132255,0.337454223388378,-0.257990915709177,31.8472760000697,0.798073832564911,1
F4,0.0191743222443037,-0.023440632509796,0.186178226606558,40.3661640874661,0.853237483980754,1
F8,0.641767622908087,0.686537863756413,-0.180078588068029,37.3939412202221,0.858063224961847,1
Central,0.0512861105679003,0.0279941646811206,0.133289841096169,35.7957363929398,0.894710689311888,1
Cz,0.121690572863566,0.144963536484284,-0.131069858653027,39.2567588362237,0.896389452388623,1
C3,0.042128340866123,0.022667980860036,0.0809173152149018,36.6866332713668,0.935947542179259,1
